"","t0","t2","t4","t6","t8","t12"
"HIST1H2BM",9.37097052977168,13.044681011177,12.6239716948111,10.5512769119973,9.76094785886557,11.7046411414578
"CDCA8",10.5538974883334,10.6998877433185,11.5690006136106,11.8845265139327,11.6020985999443,10.133468218154
"CCNE2",11.624375807681,11.2892213743262,10.4172517786709,9.56543238494734,9.90679053003841,12.0813516171582
"FAM83D",11.1021214655395,11.3145691663928,12.1997154724725,12.5266371417672,12.2809522800861,10.7846455934703
"HIST2H2AB",13.1172318909452,13.7269609802436,13.3627873486476,11.5880021603047,11.0719444373917,12.8592933250133
"BORA///DIS3",8.92946992425672,9.14047861164257,10.3567541716904,10.6293642550462,10.2285328229626,9.0669403574698
"KIF14",9.93555483827249,10.3719030947483,10.9106459322356,11.4853495418645,11.4573555727997,9.92220763654982
"HIST1H2AB",9.77459666474553,11.6652494427167,10.8318601258864,9.22665894276655,8.84691002309859,10.7407001364597
"HJURP",10.9301246049179,11.2960758018254,12.1685658366711,12.1875488159266,11.5814905745743,10.5272500786902
"HIST1H2BH",12.2981886354394,13.2459163381549,13.0826572625865,11.8057026384275,11.1458441312825,12.6679843282731
"UBE2C",10.1891138518113,10.5262640787332,11.1908523131622,11.4115401503025,10.7436665951738,9.69868146731185
"HIST2H2AA4///HIST2H2AC///HIST2H2AA3",12.4015186031502,13.2083416186394,13.0647378008427,11.8603441152752,11.5420825403867,12.8263260037529
"HIST2H3D///HIST2H3A///HIST2H3C",12.8449631508847,13.3107498622172,13.1051835128242,12.1674276832024,11.7765659917448,12.6830698171986
"FAM111B",11.8347484527469,11.6774611153976,11.2592768982041,10.6017023371831,10.2384358364368,12.0538404648371
"TNFAIP8L1",6.80687372281719,6.70881007193653,7.36591999781252,8.27427104548786,8.27572120258699,6.79950571730874
"HIST1H1B",11.3431711262282,12.5193936149836,12.445299476228,10.6379534622655,9.64422014543129,11.7086741617871
"KIF2C",10.6636648026719,10.7290992667512,11.260640615196,11.6421115295205,11.6047650455904,10.5157771813047
"KIF20A///CDC23",12.0158890762202,12.0904813073197,12.8896696442874,13.2762873445227,13.3233256476288,12.9303894959374
"CIT",9.16640005196411,9.06227172098971,9.87741886096226,10.2974620893383,10.4550685223021,9.69803167128669
"HIST1H4B",9.73194760722332,11.7075918082617,11.1351052863542,9.23558490431733,8.82357347300534,10.8901620230865
"PLK1",11.7889693796199,11.9217815113359,12.8946688914581,13.3576934296052,13.4976791306144,12.2082129854866
"GAS2L3",10.9868534115146,11.02346954631,11.8311338526165,12.3717328909239,12.2182466426951,10.8267977030595
"ARHGAP11A",10.3037940306983,10.656433598066,11.3305564399707,11.6565505739433,11.3322242319994,10.1576920125225
"CENPA",10.5349371513129,10.8835384058518,11.5360549531515,11.7187978703846,11.4405654271179,10.6256901334896
"CKAP2L",10.9783736871433,11.1262968978841,11.5712182025451,11.8728981096437,11.482887452415,10.2821236480302
"CCNE1",9.67910767582406,9.06659965510527,8.93214734281431,8.96187624463308,9.2819009324268,10.6864417758525
"HIST2H4B///HIST2H4A",10.7122900952055,11.9273509670206,10.7981313624674,10.5037686952273,10.8405771603438,12.1389476905885
"CDCA3",10.2788467660584,10.2935637707784,11.1511713936759,11.4302823129378,10.9355474644185,9.86587284307413
"FAM72A///FAM72D///FAM72B",10.3686909159026,10.670797186168,11.0617409047882,11.2229016727313,11.1596772240643,10.1192528765828
"CDCA2",10.1342175802721,10.3385005427564,11.0666372695309,11.3471895454927,11.1440314211142,10.0523850789584
"HIST1H3D///HIST1H2AD",12.3337170816258,13.4911097241161,13.2231748367925,11.9267805952389,11.4888473175501,12.8908414560417
"HSPA1B///HSPA1A",11.438108218687,11.2805601434319,12.1145005678528,12.6267162706919,12.8390839144781,11.6223642064368
"GTSE1",9.50393997947022,9.4563100891782,10.2894124098289,10.7462776152134,10.7942363551376,9.38077562936826
"CENPE",9.37399925834491,9.60553852455842,10.6236201831587,11.2100648962794,11.0593976843229,9.78189382777182
"HIST1H2AE",9.25542822196387,10.5580324917295,10.1475256825999,8.67838167278601,8.43861292179667,9.95098827157038
"CCNB1",11.1402495490179,11.4867657139843,11.9572738437952,12.294649494027,12.3281591881989,11.6370095117631
"DTL",13.1335093222206,12.9651864652773,12.5484190315226,12.2429811098381,12.2631014337772,13.3267495901071
"WDR76",11.1214985690849,10.9828680550467,10.6819173982231,10.2993214965869,10.2136967272768,11.5141592352356
"FAM64A",10.0673828051587,10.1714654321899,10.9005740423041,11.3843025185349,11.3608519134532,10.2233710779438
"AKAP13",8.78273207266224,9.49108011432706,10.045060214724,10.0014062860009,9.93156330357703,9.91856056589877
"CCNA2",11.9518620791222,12.0141435438948,12.3419415507268,12.6196630632847,12.5603769789381,11.7029995733336
"HIST2H2AC",12.727196499993,13.5881082117047,13.3383905153563,12.1212916760895,11.5445046957009,13.0873219188562
"TOP2A",12.3547553343505,12.4802499898803,12.8589373561286,13.1553607609534,12.8117824520396,11.868269752098
