Feature	Description	Normal_1	Normal_2	Normal_3	Normal_4	Normal_5	Normal_6	Normal_7	Normal_8	Barrett's Esophagus_1	Barrett's Esophagus_2	Barrett's Esophagus_3	Barrett's Esophagus_4	Barrett's Esophagus_5	Barrett's Esophagus_6	Barrett's Esophagus_7	Barrett's Esophagus_8	EAC_1	EAC_2	EAC_3	EAC_4	EAC_5	EAC_6	EAC_7	EAC_8
A1CF	NA	5.900171289	6.11368218	6.211202305	6.631870016	6.229496711	5.946990057	5.87183606	5.259056653	6.091083612	6.403574198	6.326686002	5.782285536	5.53772789	5.966146739	6.67063957	6.431814057	6.029482614	7.451067454	6.381477551	5.270432163	5.532994154	5.394990254	5.988209254	6.67215952
A2M	NA	6.962054052	7.227807731	8.299957156	6.943604932	8.427246602	8.230204212	7.428154925	9.151311976	9.156834104	8.945632363	7.763998722	8.87416809	8.980172206	8.440571293	7.702420603	8.385123587	8.25421674	8.10461283	9.011084231	8.353520656	8.655109954	9.34979792	8.650919565	8.544010375
A4GALT	NA	4.516338972	4.909709376	2.93385687	4.487512143	4.881285622	4.195697056	4.333361463	5.173887288	4.395682961	4.312140507	4.409155302	5.670914871	5.038250461	4.622027303	4.575741375	4.599152114	4.857484115	5.029129877	4.194189897	4.30676415	5.019925341	4.905274778	3.18221184	4.102643365
A4GNT	NA	5.063860055	4.71492105	5.303304908	6.106577354	4.615120517	5.151555985	4.995860009	4.772378105	5.483551345	5.285738584	5.549465114	5.243333058	5.076423035	6.580916491	5.132852927	5.96819592	6.124902185	4.680277658	5.320078858	5.180659323	5.247550249	4.505349851	5.592105757	5.18961795
AAAS	NA	4.631812117	4.59511985	5.338499156	4.388257184	5.361761539	5.090062428	5.016617366	4.576770711	5.170483995	4.097672352	5.223054882	4.239886868	5.066385309	4.995860009	4.771531723	5.05815481	4.12552018	5.324959297	5.259056653	3.871201011	5.219274159	5.049856007	4.956531035	5.038898759
AACS	NA	7.421775794	7.48543549	7.77140444	7.782473735	6.99090086	7.771109261	7.099366883	5.915123314	6.474045005	6.222774661	7.171810421	7.104965448	6.673171538	7.493094507	7.111593679	7.164488333	6.631738238	6.632660322	6.19725846	6.590575736	7.111675235	6.683986532	5.981161654	6.074656138
AADAC	NA	4.135166557	5.278624733	3.18221184	3.218875825	3.478158423	5.108971195	2.397895273	1.335001067	6.53654666	6.333279628	4.498697941	2.884800713	2.867898902	6.246106765	6.934494576	6.297293465	5.649326289	3.391147046	4.505349851	4.911919321	2.747270914	2.219203484	5.753841675	5.953503041
AAGAB	NA	4.464763991	4.372140477	4.557341316	4.405550422	4.404637286	4.393675046	4.763681995	3.922257541	5.666272511	4.976483977	4.850599998	4.613163944	4.512665202	4.552114787	4.176508209	4.810217374	6.678024004	5.966957915	4.984188006	4.906321145	4.441986455	4.244347473	5.467981444	4.803351422
AAK1	NA	4.236217526	4.113213195	3.859506035	4.544739161	3.935663016	4.221401046	4.297644554	4.392742554	3.710853858	4.258901584	4.21055453	3.930126836	4.418027193	3.998480364	4.132268588	3.98084315	4.465797236	4.33787478	3.904006583	4.357039381	3.88022353	4.222548378	4.158021083	3.759274078
AAMP	NA	6.181878274	6.711131937	6.522680861	7.110369539	6.720461381	6.562302841	6.758094504	6.304083105	6.712470056	6.554218264	6.491026979	6.987859523	6.822741905	6.894973945	6.405393734	6.929027414	7.002064958	7.261014396	6.7597192	6.949281026	6.803505258	6.449680221	7.307202315	6.709182382
AANAT	NA	1.504077397	1.62924054	1.931521412	2.602689685	2.549445171	1.85629799	2.128231706	2.397895273	1.504077397	1.945910149	1.840549633	2.397895273	2.646174797	2.091864062	2.406945108	2.128231706	2.00148	2.406945108	1.686398954	1.280933845	1.808288771	1.902107526	4.096009842	2.028148247
AARS	NA	7.152268856	6.96404109	7.369222577	7.466055917	7.303170051	7.115988218	6.876574161	7.429164696	7.146693436	7.219715244	7.19112808	7.273439517	7.376946078	7.343426229	6.895176497	7.187959462	7.421715983	7.190525307	7.309747698	8.33660613	7.307403502	7.585077909	7.550293142	7.273647612
AARSD1	NA	5.344723739	5.429345629	6.316984165	5.998440161	5.7661311	5.276582874	5.199601394	6.156767099	5.582744146	5.465525286	5.607271574	6.067035734	5.857075644	5.942011663	5.473949935	5.885826215	6.033326001	6.154008476	5.788736181	6.039063526	5.893024474	6.16057421	6.029963846	5.847594177
AASDHPPT	NA	6.782606218	6.537376667	5.856162472	5.334858715	5.855693247	6.457230826	6.461041383	6.356850863	6.379952758	5.902837836	6.360734444	5.884634281	6.318178561	5.760661057	6.246461561	5.890222211	6.279972312	5.684876559	6.412562858	6.61316445	5.899722731	5.624702371	5.993026013	5.969998531
AASS	NA	3.401530604	3.434013218	1.398030539	1.700098441	1.573152566	1.914972447	4.276040728	3.945785035	2.913398125	2.171902711	2.792123953	1.630392614	3.607020365	2.497083551	3.403641399	1.791759469	2.22367305	3.449876674	3.081973092	2.748235631	3.051413507	2.094827371	4.322165721	3.647786119
AATF	NA	6.626850191	6.701345927	6.568218351	6.505036397	6.884793667	6.633713092	6.469095266	6.656983561	7.328699958	6.840439572	6.825460036	6.473118794	6.198885138	6.745589228	6.503988728	6.88857246	6.902541712	7.085734086	7.035708643	6.811904953	6.357668941	7.241151361	6.968474014	6.972418792
AATK	NA	5.180659323	4.772378105	6.151029117	5.825409963	6.494358801	5.330300412	5.172754144	6.31209772	6.025382765	6.390743896	6.110136077	6.153583397	6.008321664	5.383117968	6.170447203	6.245331271	6.925791641	6.726952568	5.857361563	5.753841675	6.229890722	6.056784013	6.098074282	6.391246872
ABAT	NA	6.114560408	5.780753036	5.43909904	5.019857358	5.695434894	6.051846947	5.557838645	5.004084586	5.922223068	4.641273386	5.632209248	3.476579077	4.748691544	5.104662715	6.014341418	5.87631999	3.856674852	4.005979959	5.458541762	4.826447133	5.530080441	4.61894269	4.657058686	6.544794578
ABCA1	NA	5.465226276	5.564016234	5.131721711	5.029196297	5.144741485	5.392150605	5.134588002	5.726479445	5.301815816	5.422210925	5.527686124	5.231374126	5.350233211	4.886612781	5.331626177	4.270495784	4.966009955	5.067881377	5.801981409	5.031660857	5.337240231	5.350485166	5.826608435	5.32113238
ABCA11P	NA	3.824284091	3.56671182	4.030694535	4.73532087	2.653241965	4.105943698	4.007333185	4.833898116	4.314817885	4.676560182	2.954910279	3.563882964	4.515245478	2.517696473	4.662495253	4.287715955	4.275276265	4.705920089	4.091005661	4.90897164	2.975529566	4.242764567	4.91338991	4.158883083
ABCA12	NA	4.041295341	4.342505877	3.988984047	3.935739532	4.050044303	4.025351691	4.406719247	3.054001182	3.054001182	3.78191432	4.928701911	4.919250732	5.347107531	2.197224577	4.027135813	3.131136911	4.209160237	2.517696473	3.575150689	4.361823927	3.850147602	5.125153748	3.790984677	4.511957804
ABCA2	NA	3.590172987	3.466207777	3.790612209	4.074877906	4.363959259	3.660937397	3.255427273	4.210673658	3.367333112	3.387898549	3.851209866	3.598545467	3.71071845	4.070990845	3.481187592	3.245008095	3.605146241	3.69034728	3.536631149	3.71602614	3.69731839	3.645964665	4.009713646	3.57591216
ABCA3	NA	4.043051268	4.591071262	3.788724789	3.552486829	4.498697941	3.394508394	4.882801923	5.341855669	4.401829262	4.220977213	3.349904087	5.002603122	4.737951297	4.028916757	4.096009842	3.277144733	3.157000421	3.686376324	3.306886702	5.029784113	4.621043535	5.104732617	3.650658241	3.430756184
ABCA4	NA	3.269568939	4.952299717	4.421247348	4.745801316	3.563882964	3.883623531	3.864931398	3.632309103	3.55820113	3.532225644	3.430756184	4.774068722	4.416428061	3.850147602	3.517497837	3.526360525	3.616308761	3.970291914	3.678829118	3.303216973	4.127134385	3.871201011	2.610069793	3.277144733
ABCA5	NA	6.409516771	6.338594078	5.05560866	3.899950424	5.404477562	5.470588587	6.226141334	4.930870326	5.236441963	5.780434826	5.567580853	5.161351511	5.398162702	5.26837349	5.885270351	5.068904202	4.772378105	6.106131622	5.362699625	5.507361993	4.963543687	4.516338972	5.731073335	4.917056947
ABCA6	NA	4.287715955	4.398146017	4.034240638	4.200204953	2.766319109	3.906004933	4.039536326	4.96144505	2.079441542	3.310543013	3.394508394	3.430756184	3.363841595	3.360375387	2.219203484	4.206184044	2.557227311	2.617395833	3.749504076	3.446807893	2.451005098	4.175924549	3.62700405	2.923161581
ABCA7	NA	5.547518452	5.550631295	5.171619714	6.350362019	5.545567993	5.832468816	5.181221595	4.882801923	5.353278925	5.341376856	5.257495372	5.668500661	5.700777966	5.334649296	5.669880923	5.192401141	5.187385806	5.924790414	5.355642433	5.641552398	5.70511492	5.773308537	5.796057751	5.304299438
